generated_at: 2026-04-18T15:56:38
db_path: E:\EDINET_Data\edinet_monitor\db\edinet_monitor.db
period_mode: all
period_from: all
period_to: all
industry_33: all
security_codes: all
status_filter: FILING_MISSING
annual_gap_detection: on
rows: 1222
status_summary: FILING_MISSING=1222

証券コード | 会社名                                             | 業種                 | 期末日     | doc_id | 提出日 | filing | zip | 正規化 | 派生 | parse_status | 状況          
2698       | キャンドゥ                                         | 小売業               | 2022-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2698       | キャンドゥ                                         | 小売業               | 2021-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2698       | キャンドゥ                                         | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2698       | キャンドゥ                                         | 小売業               | 2019-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2698       | キャンドゥ                                         | 小売業               | 2018-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2698       | キャンドゥ                                         | 小売業               | 2017-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2708       | 久世                                               | 卸売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2726       | パルグループホールディングス                       | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2726       | パルグループホールディングス                       | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2730       | エディオン                                         | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2742       | ハローズ                                           | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2742       | ハローズ                                           | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2747       | 北雄ラッキー                                       | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2747       | 北雄ラッキー                                       | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2753       | あみやき亭                                         | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2763       | エフティグループ                                   | 卸売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2764       | ひらまつ                                           | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2789       | カルラ                                             | 小売業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2789       | カルラ                                             | 小売業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
2790       | ナフコ                                             | 小売業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
