generated_at: 2026-08-02T16:33:20
mode: apply
date_from: 
date_to: 
selected_rows: 816499
candidates: 2872003
warnings: 1

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Energy Enterprise | OperatingIncome  | operating_profit   |    3,480,000,000 | OperatingIncome                  | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Real Estate Health And ASport Enterprise | OperatingIncome  | operating_profit   |      446,000,000 | OperatingIncome                  | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Power Industry | OperatingIncome  | operating_profit   |    1,146,000,000 | OperatingIncome                  | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    5,072,000,000 | OperatingIncome                  | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | その他                   | OperatingIncome  | operating_profit   |     -539,000,000 | OperatingIncome                  | selected                    
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    5,072,000,000 | OperatingIncome                  | lower_priority_duplicate    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | total    | 合計                     | OperatingIncome  | operating_profit   |    4,533,000,000 | OperatingIncome                  | selected                    
excluded   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | excluded | Reconciling Items        |                  |                    |     -930,000,000 | OperatingIncome                  | excluded_adjustment_or_elimination_member
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Energy Enterprise | NetSales         | external           |  195,533,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Real Estate Health And ASport Enterprise | NetSales         | external           |    2,797,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | E01074-000Power Industry | NetSales         | external           |   17,757,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | total    | 合計                     | NetSales         | external           |  216,088,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | business | その他                   | NetSales         | external           |    5,181,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | total    | 合計                     | NetSales         | external           |  221,270,000,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 8131     | ミツウロコグループホールディングス | 2015-03-31 | excluded | Reconciling Items        |                  |                    |             None | RevenuesFromExternalCustomers    | excluded_adjustment_or_elimination_member
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Energy Enterprise | NetSales         | external           |  155,307,000,000 | RevenuesFromExternalCustomers    | selected                    
selected   | 8131     | ミツウロコグループホールディングス | 2016-03-31 | business | E01074-000Real Estate Health And ASport Enterprise | NetSales         | external           |    2,790,000,000 | RevenuesFromExternalCustomers    | selected                    
