doc_id	security_code	form_type	period_end	source_tags	existing_row_count	proposed_row_count	selected_candidate_count	excluded_candidate_count	review_row_count	excel_suppressed_segment_profit_count	status
S1007LHN	82730	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	8	27	52	4	0	0	rebuild
S1007LHU	26850	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LHW	80050	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	19	30	69	5	0	0	rebuild
S1007LHZ	30870	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	52	4	0	0	rebuild
S1007LI8	99740	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LJ0	80160	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	20	42	6	2	0	rebuild
S1007LJA	47630	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	26	58	3	0	0	rebuild
S1007LJL	75440	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LJM	74530	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	30	54	12	0	0	rebuild
S1007LKD	79750	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	13	32	4	0	0	rebuild
S1007LKH	96610	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	44	3	0	0	rebuild
S1007LMD	21860	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007LMK	60580	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	51	3	0	0	rebuild
S1007LMT	88940	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	6	13	26	2	0	0	rebuild
S1007LOJ	30800	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LOP	82330	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	16	34	5	0	0	rebuild
S1007LP7	76030	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LQG	46450	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LQH	75200	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LRN	81250	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	42	4	0	0	rebuild
S1007LS6	60700	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	4	0	0	no_metrics
S1007LSS	82890	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LSY	45300	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	6	0	0	no_metrics
S1007LSZ	99820	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	52	2	0	0	rebuild
S1007LU2	33960	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LU3	81810	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LUX	77180	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	17	32	9	0	0	rebuild
S1007LVE	59820	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	40	2	0	0	rebuild
S1007LVW	36270	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	4	0	0	no_metrics
S1007LVX	82600	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	8	6	41	2	0	0	rebuild
S1007LW0	27980	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	48	5	0	0	rebuild
S1007LW3	82370	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	18	30	68	0	0	0	rebuild
S1007LWK	14180	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	21	36	70	6	0	0	rebuild
S1007LWN	29180	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	26	58	6	0	0	rebuild
S1007LWR	75150	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	4	0	0	no_metrics
S1007LWU	75990	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	3	0	0	no_metrics
S1007LX9	26700	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	36	4	0	0	rebuild
S1007LXH	27420	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007LXI	81850	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	36	2	0	0	rebuild
S1007LY6	60930	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	13	32	6	0	0	rebuild
S1007LZC	26870	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	26	56	5	0	0	rebuild
S1007M0Q	28720	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007M10	58170	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	9	3	8	4	0	0	rebuild
S1007M1X	99480	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007M2T	81670	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	8	18	37	4	1	0	rebuild
S1007M3I	30630	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	26	60	4	0	0	rebuild
S1007M3O	47140	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	18	30	67	2	0	0	rebuild
S1007M3W	97400	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	36	2	0	0	rebuild
S1007M5K	33820	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	16	42	114	8	2	0	rebuild
S1007M5N	50180	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	29	66	8	1	0	rebuild
S1007M64	31810	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007M6D	26590	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	6	14	34	4	0	0	rebuild
S1007M6T	27260	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	46	3	0	0	rebuild
S1007M79	76100	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	2	2	4	0	0	rebuild
S1007M7T	38260	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	12	9	16	1	0	0	rebuild
S1007M81	60860	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	1	0	0	no_metrics
S1007M8C	39290	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	6	13	18	10	0	0	rebuild
S1007MA2	89310	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	18	30	48	3	0	0	rebuild
S1007MA9	36080	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	36	4	0	0	rebuild
S1007MAP	34150	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007MAS	28840	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	16	36	2	0	0	rebuild
S1007MAX	33870	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007MAZ	68970	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007MCG	23370	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	22	50	6	0	0	rebuild
S1007MCL	95080	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	10	22	52	1	0	0	rebuild
S1007MEV	23000	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007MEZ	75380	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	34	0	0	0	rebuild
S1007MG5	81980	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007MH4	29300	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007MH6	31770	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	9	13	26	1	0	0	rebuild
S1007MH7	76080	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	18	40	4	0	0	rebuild
S1007MHL	61730	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007MHY	32800	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	32	58	2	1	0	rebuild
S1007MHZ	49200	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	11	31	4	0	0	rebuild
S1007MJR	72450	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	28	54	8	0	0	rebuild
S1007MKU	30860	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	18	14	27	5	1	0	rebuild
S1007MMO	82440	030000	2016-02-29	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	12	23	3	1	0	rebuild
S1007MN7	78470	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	4	8	10	0	0	rebuild
S1007MOZ	23790	030000	2016-02-29	NotesSegmentInformationEtcFinancialStatementsTextBlock	9	18	36	0	1	0	rebuild
